subgraph,freq,n_atoms,examples
c1:c:c:c:c:c:1,0.78106,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1
c:c:c(:c)-N-C=O,0.21574,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c-C(-N)=O,0.21534,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c:c-N-C-C,0.21498,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c(:c)-C-N-C-C,0.21342,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c:c(:c)-N-C=O,0.21286,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-N-c:c:c:c:c,0.21182,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-C-N-C(-C)=O,0.21128,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(NCCN1CCOCC1)C1(c2cccc(F)c2)CCOCC1;CN1CC(C(=O)NCCN2CCN(Cc3ccccc3)CC2)CC1=O
C-C-C-N-C-C,0.21028,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1
c:c:c:c:c-C-C,0.20994,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
c:c-C(=O)-N-C,0.20878,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c:c:c-N-C=O,0.20856,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c(:c)-C-C,0.20626,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
C-N-c(:c:c):c:c,0.20604,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(-C=O):c:c,0.20548,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c(:c:c)-N-C=O,0.20282,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
O=C-N-c1:c:c:c:c:c:1,0.20064,9,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c:c-C-N-C,0.1998,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c(:c)-C(-N)=O,0.19886,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c:c:c-N-C-C,0.19824,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c:c:c(:c)-C-N-C,0.19802,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c(:c)-C-N-C-C,0.19552,8,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c-C-N(-C)-C-C,0.19312,6,COCC1(C(=O)O)CCCN1Cc1nnnn1CC(F)(F)F;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
O=C-c1:c:c:c:c:c:1,0.1916,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c-C-N-C-C-C,0.18608,6,COCC1(C(=O)O)CCCN1Cc1nnnn1CC(F)(F)F;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c(:c)-N-C-C,0.1856,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c:c:c-C-N-C-C,0.18486,9,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c(:c)-C(-N)=O,0.1834,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
c:c:c-C(=O)-N-C,0.17994,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c(:c)-N-C-C,0.17978,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
C-C-C-C-N-C,0.1797,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c:c(:c)-C-N-C-C,0.17898,9,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
C-C-N-c1:c:c:c:c:c:1,0.17796,9,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(:c:c)-C-C,0.17676,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(C2(c3nnc(-c4cnccn4)o3)CCOCC2)cc1;COCCc1ccc(OS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
c:c:c:c(:c)-N-C-C,0.1767,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(:c:c)-N-C-C,0.17234,8,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(:c:c)-C-N,0.17072,7,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
C-C-N-C-c1:c:c:c:c:c:1,0.17062,10,Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;Cc1nc2sccn2c1C(C)NCc1ccc(C(C)C)cc1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1
c:c:c:c:c-C(-N)=O,0.16708,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-C-N(-C=O)-C-C,0.16624,7,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1
c-C(=O)-N-C-C,0.16612,6,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c1:c:c:n:c:c:1,0.16476,6,Cc1ncc(Cl)c(N)c1Cl;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COc1ccc(CN(C)Cc2noc3c2COCC3)cn1
c:c-C-N-C-C-C,0.16438,7,CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;CCCc1occc1C(=O)N1CCCC(O)(Cn2ccnn2)C1
c:c-C(=O)-N-C-C,0.16438,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1
c:c:c:c(:c)-C(-N)=O,0.1634,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-C-N-C-C-N,0.15708,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;Cn1c(CN2CCN(CCO)CC2)nc2cc(Cl)ccc21
C-N(-C)-C-C-N,0.15704,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1
c:c-C-N(-C)-C-C,0.15702,7,CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2
c:c-N-C(-C)=O,0.15624,6,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c-C-N(-C)-C,0.15536,6,CCc1nc(CN2CCCC(c3noc(C4CC4)n3)C2)cs1;Cc1nn(C)c(N(C)C)c1CNCCCN1CCc2ccccc2C1;O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
C-N(-C-C)-C-C,0.15512,6,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1
C-C-C-C-N-C=O,0.15452,7,CC(C)(O)C(=O)N1CCCC(O)(C(F)(F)F)CC1;CC1(O)CCCN(C(=O)COCC(F)(F)F)CC1;CCCn1nccc1C(=O)N1CCC2(CCN(C)CC2)C1;Cc1cnn(CC2CCCCN2C(=O)CC(C)n2nc(C)cc2C)c1;O=C(c1ncc[nH]1)N1CCC(c2n[nH]c(=O)o2)CC1
c:c-C-N-C=O,0.15276,6,CCn1cnnc1SC(C)C(=O)NCc1ccc(Cl)cc1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2;Cc1cscc1CNC(=O)N1CC(C)OC2(CCOC2C)C1;CCCc1ncc(CNC(=O)C2CC(O)(C3CCCCC3)C2)o1;CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)C1=Cc2ccccc2OC1
C-N-C-C-N-C,0.15268,6,COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;CC(C)(C)c1cnc(CN2CCN(c3ccc(C#N)cn3)CC2)o1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1
c:c:c:c-C(=O)-N-C,0.15194,8,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1;O=C1c2ccccc2CS(=O)(=O)N1Cc1cc(Cl)cc2c1OCOC2
c:c:c-N-C(-C)=O,0.15064,7,COc1ccc(NC(=O)CN(C)CC(=O)Nc2ccc(F)c(F)c2F)c([N+](=O)[O-])c1;Cc1ccc(Oc2ccccc2NC(=O)CCC(=O)[O-])cc1;Cc1cccc(C)c1NC(=O)CN1CCN(c2ccc3ccc(F)cc3n2)CC1;COC(=O)c1cccc2c1CN(CC(=O)Nc1cc(C)ccc1F)CC2;COc1ccc(NC(=O)Cc2ccc3c(c2)OCCO3)cc1Cc1ccccc1
c:c:c(-C-N):c:c,0.15058,7,O=C(c1ccccc1)N1CC(S(=O)(=O)N2CCC(n3ccnc3)CC2)C1;CCCCCn1c(=NC(=O)c2ccc(OC)c(OC)c2)c(C#N)cc2c(=O)n3cccc(C)c3nc21;COc1cccc(C(=O)NCCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1;COc1cc(OC)cc(C(=O)N2CCN(C(C#N)c3ccccc3)CC2)c1;O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ncccn2)CC1
